Model,Year,Region,Color,Fuel_Type,Transmission,Engine_Size_L,Mileage_KM,Price_USD,Sales_Volume,Sales_Classification
X3,2022,Middle East,Black,Petrol,Automatic,1.8,139595,79553,7940,High
M3,2023,Africa,Red,Petrol,Automatic,2.5,51255,68413,6494,Low
3 Series,2010,Africa,White,Petrol,Automatic,2.0,9567,35394,9393,High
X3,2018,Asia,Grey,Hybrid,Automatic,2.5,116625,81370,9258,High
X5,2014,Middle East,Red,Hybrid,Automatic,2.6,1459,95700,5800,Low
i3,2013,Africa,Red,Petrol,Automatic,1.7,188841,37761,5694,Low
X3,2020,North America,White,Hybrid,Automatic,2.2,24351,90641,9999,High
5 Series,2020,Asia,White,Hybrid,Manual,2.4,135268,69122,5552,Low
M5,2011,Middle East,Red,Petrol,Manual,3.1,7359,81118,5486,Low
X3,2016,Africa,White,Petrol,Automatic,2.1,77663,47502,9999,High
X1,2022,Middle East,Grey,Electric,Automatic,1.9,199460,80856,9999,High
M5,2016,Africa,White,Petrol,Automatic,3.9,1032,88577,5280,Low
M5,2016,Middle East,Grey,Electric,Automatic,2.8,111298,92280,6114,Low
M3,2018,Asia,Silver,Hybrid,Automatic,2.8,13421,95621,5212,Low
X6,2012,Middle East,Black,Petrol,Automatic,3.4,134699,88747,6059,Low
M5,2023,South America,Black,Hybrid,Manual,3.2,199713,90307,5618,Low
5 Series,2016,North America,Black,Petrol,Manual,2.1,114498,75151,5867,Low
7 Series,2011,Middle East,Blue,Petrol,Manual,3.9,172558,126048,2943,Low
M3,2022,Middle East,Red,Electric,Automatic,2.0,168731,114710,8478,High
X1,2011,Europe,Grey,Diesel,Manual,2.2,86597,49244,6586,Low
M5,2016,Africa,Black,Hybrid,Automatic,2.9,195543,68485,6232,Low
X5,2014,South America,Blue,Petrol,Manual,2.5,186337,62360,4837,Low
M3,2010,South America,Grey,Petrol,Automatic,2.0,45713,48631,5445,Low
M3,2024,South America,Black,Electric,Manual,2.9,26100,57937,8045,High
5 Series,2010,Europe,White,Diesel,Manual,2.7,98653,89523,4643,Low
5 Series,2012,Africa,Black,Petrol,Manual,2.2,173643,59453,8221,High
M5,2013,Europe,Red,Petrol,Manual,3.1,65992,102119,6385,Low
i3,2017,South America,Black,Electric,Manual,1.5,28544,36690,6299,Low
3 Series,2019,Middle East,Grey,Electric,Manual,1.5,139470,68414,7517,High
X6,2013,South America,Grey,Petrol,Manual,2.9,114036,80482,3841,Low
5 Series,2010,North America,White,Electric,Automatic,2.0,179895,58794,6819,Low
M3,2018,Asia,Black,Diesel,Automatic,2.1,94292,68236,6374,Low
X5,2016,Asia,Silver,Petrol,Automatic,2.8,157483,94295,7214,High
M5,2023,North America,Black,Petrol,Manual,3.1,193366,153578,4820,Low
X5,2021,Middle East,Blue,Electric,Automatic,2.6,125852,94584,6262,Low
X1,2020,Middle East,Blue,Petrol,Automatic,1.7,65192,57182,7892,High
i3,2019,South America,Blue,Electric,Automatic,1.8,177496,52453,9959,High
3 Series,2019,Africa,Blue,Hybrid,Manual,1.7,100706,41668,8704,High
5 Series,2014,Africa,Black,Petrol,Manual,2.5,141023,58239,6733,Low
M5,2013,North America,Silver,Diesel,Automatic,2.8,89062,75680,5943,Low
i8,2019,North America,Silver,Hybrid,Manual,2.1,105038,115918,6317,Low
X6,2013,Africa,White,Hybrid,Manual,3.3,24126,95721,5860,Low
X5,2014,North America,Silver,Hybrid,Automatic,2.2,159852,80728,5315,Low
X6,2024,Asia,Grey,Electric,Automatic,2.9,13922,109026,3828,Low
7 Series,2023,Europe,Blue,Electric,Automatic,3.9,59737,139063,3867,Low
X6,2015,North America,Silver,Diesel,Manual,3.4,122726,132672,5187,Low
X3,2015,Middle East,White,Petrol,Automatic,2.7,164733,54127,6317,Low
X6,2013,North America,Blue,Hybrid,Automatic,2.0,161887,69872,4907,Low
5 Series,2024,Asia,Red,Electric,Automatic,2.7,133050,82236,9038,High
7 Series,2012,North America,Blue,Diesel,Automatic,3.8,102165,101884,3962,Low
M3,2014,Asia,Silver,Petrol,Automatic,2.6,1694,101633,6449,Low
X3,2019,Middle East,Silver,Electric,Automatic,2.7,25032,88948,8429,High
X3,2010,Asia,Grey,Diesel,Automatic,2.4,175103,74821,5909,Low
X5,2015,Middle East,Blue,Hybrid,Manual,2.8,103710,125423,5389,Low
X3,2024,Africa,Black,Electric,Manual,2.3,87198,69507,6634,Low
X3,2023,Europe,Grey,Electric,Automatic,2.4,169031,101112,8078,High
X6,2015,Europe,Blue,Hybrid,Manual,3.0,143043,107001,6951,Low
M3,2021,South America,Black,Diesel,Manual,2.5,166544,78687,7050,High
X6,2018,Africa,Grey,Hybrid,Manual,2.0,35105,62803,3995,Low
i3,2021,Europe,Black,Electric,Manual,1.9,185940,46381,8442,High
5 Series,2024,Asia,Blue,Hybrid,Automatic,1.6,114427,68955,9999,High
7 Series,2020,Asia,Red,Diesel,Automatic,2.9,112129,111501,6170,Low
X1,2024,South America,Silver,Hybrid,Automatic,1.6,93726,48881,9999,High
X6,2017,Asia,Black,Electric,Automatic,3.0,134905,115506,5872,Low
X3,2016,Europe,White,Petrol,Manual,1.8,15506,87002,5601,Low
5 Series,2023,North America,Silver,Hybrid,Manual,2.9,81386,99416,8636,High
X1,2017,North America,Silver,Diesel,Manual,2.5,65457,60951,9999,High
3 Series,2021,Asia,Blue,Diesel,Manual,1.8,192225,57550,6489,Low
3 Series,2018,Africa,Grey,Petrol,Automatic,1.9,172348,39581,6757,Low
M5,2021,Africa,Black,Electric,Automatic,3.1,73867,66804,7278,High
7 Series,2014,Africa,Silver,Hybrid,Manual,3.6,13105,97389,5859,Low
i3,2015,Middle East,Black,Hybrid,Manual,1.8,129389,43770,9999,High
X6,2015,South America,Black,Petrol,Automatic,3.1,127771,75718,3514,Low
i3,2022,South America,Red,Petrol,Manual,2.1,182811,33133,8426,High
M3,2014,Europe,Black,Petrol,Manual,2.0,4625,84070,4381,Low
7 Series,2010,North America,Red,Hybrid,Automatic,3.3,78641,130414,2633,Low
X3,2015,North America,White,Petrol,Manual,1.8,93885,66375,6405,Low
M3,2019,North America,Grey,Diesel,Manual,3.5,118173,79291,5174,Low
X5,2018,Africa,Red,Petrol,Automatic,2.9,116395,56383,4224,Low
X3,2022,Middle East,Silver,Electric,Manual,1.9,105649,76878,9999,High
7 Series,2014,Asia,Black,Hybrid,Automatic,4.0,101261,98608,5314,Low
i3,2019,Africa,Grey,Electric,Automatic,1.3,98779,51908,9999,High
i3,2018,North America,Blue,Hybrid,Automatic,1.7,76859,41539,9999,High
X1,2016,North America,Silver,Diesel,Manual,2.1,1464,77260,8679,High
X5,2015,South America,White,Petrol,Automatic,2.8,9334,89838,6985,Low
M5,2013,North America,Silver,Electric,Automatic,3.3,83884,94054,5080,Low
i8,2010,Europe,Red,Electric,Automatic,3.2,187337,83041,5160,Low
i8,2013,Asia,Black,Hybrid,Automatic,2.9,18026,85652,5192,Low
X3,2018,Asia,White,Electric,Manual,2.0,5443,72921,8829,High
X3,2015,Europe,White,Diesel,Manual,2.1,9779,82703,6981,Low
M3,2024,Europe,Red,Electric,Manual,2.3,140094,76154,5213,Low
5 Series,2023,Middle East,Red,Diesel,Manual,1.3,123888,88162,4616,Low
5 Series,2010,Asia,Red,Diesel,Automatic,1.9,16575,53359,6967,Low
i8,2011,South America,White,Electric,Manual,3.0,9499,65220,6247,Low
i3,2017,North America,White,Hybrid,Automatic,1.7,154959,58409,9999,High
X3,2020,South America,Black,Diesel,Manual,2.6,10011,72978,9988,High
M3,2021,South America,Black,Petrol,Automatic,2.4,37375,90339,8068,High
i8,2014,North America,Black,Diesel,Automatic,2.1,1792,66620,4800,Low
X6,2020,Middle East,Red,Electric,Automatic,2.8,50920,127853,7863,High
7 Series,2014,Europe,Black,Petrol,Manual,3.2,33497,140771,4914,Low
i8,2013,Africa,Silver,Diesel,Automatic,3.6,53319,81649,5077,Low
X3,2019,Africa,White,Electric,Manual,1.5,36154,76517,5436,Low
X3,2010,South America,Black,Petrol,Automatic,2.9,103642,60595,7393,High
3 Series,2010,Asia,White,Petrol,Manual,2.2,47311,43244,7893,High
X5,2022,Africa,Grey,Electric,Manual,2.9,66762,65955,4800,Low
i3,2010,Asia,Red,Electric,Automatic,1.6,74360,47109,5983,Low
i8,2020,Africa,Grey,Diesel,Automatic,2.8,114459,74995,6655,Low
i3,2014,Asia,Red,Hybrid,Automatic,2.2,192110,40726,8954,High
X1,2020,Europe,Blue,Diesel,Automatic,1.7,188285,77452,6934,Low
i8,2018,Africa,Blue,Hybrid,Automatic,2.6,89996,76913,3700,Low
3 Series,2023,Europe,Blue,Petrol,Automatic,2.2,177228,78329,9999,High
i8,2018,South America,Silver,Hybrid,Manual,3.1,45809,103113,7901,High
X5,2020,Middle East,Blue,Petrol,Automatic,3.5,11644,131522,7889,High
X5,2015,Europe,Black,Diesel,Automatic,2.8,134073,107359,4291,Low
X5,2018,Middle East,Red,Hybrid,Manual,3.0,17540,124363,6698,Low
3 Series,2019,Middle East,Grey,Petrol,Automatic,1.8,162629,47043,9999,High
X6,2015,Africa,Blue,Petrol,Manual,2.8,97749,66332,3500,Low
M3,2017,Middle East,Red,Hybrid,Manual,2.4,138335,74720,8453,High
i3,2015,Africa,Blue,Electric,Manual,1.2,134965,51616,9999,High
X3,2013,North America,Blue,Diesel,Automatic,2.4,96613,80905,8751,High
7 Series,2018,Europe,Black,Diesel,Automatic,3.2,147723,99630,4185,Low
M3,2022,Asia,Black,Hybrid,Manual,2.7,101106,102119,8211,High
M5,2019,North America,Red,Hybrid,Automatic,3.0,65916,116787,4474,Low
i8,2010,Africa,Black,Hybrid,Manual,2.4,100505,51770,6560,Low
X3,2011,North America,Silver,Petrol,Automatic,2.0,48735,77271,5680,Low
i3,2011,Africa,Grey,Hybrid,Automatic,1.9,126238,41534,7591,High
X5,2016,South America,Silver,Petrol,Automatic,2.7,189628,78881,6500,Low
i8,2015,Africa,Grey,Hybrid,Automatic,2.4,17093,58227,3704,Low
i8,2010,Middle East,Red,Hybrid,Manual,2.4,134209,69328,5551,Low
3 Series,2014,Middle East,Black,Petrol,Automatic,1.8,57907,71020,6805,Low
7 Series,2010,North America,Red,Petrol,Automatic,3.3,83844,100088,4057,Low
M5,2017,Europe,Black,Diesel,Automatic,3.5,86278,135064,3742,Low
7 Series,2023,North America,White,Electric,Manual,4.1,116581,155000,4390,Low
i8,2020,Middle East,Red,Diesel,Automatic,3.0,152506,69365,4179,Low
X6,2017,Middle East,Grey,Petrol,Automatic,3.0,33288,93696,6209,Low
M3,2024,Asia,Black,Petrol,Automatic,2.8,187880,103630,4386,Low
5 Series,2022,Europe,Blue,Diesel,Manual,2.3,144755,83282,7433,High
M5,2011,North America,Black,Petrol,Automatic,3.3,61697,80699,4707,Low
X5,2011,South America,Red,Diesel,Manual,2.8,94201,54447,4596,Low
X6,2017,Asia,Silver,Petrol,Automatic,2.4,38441,126263,4865,Low
X3,2024,Africa,Black,Hybrid,Automatic,2.3,181941,65055,9999,High
X3,2016,South America,White,Petrol,Automatic,1.4,47116,58654,7353,High
X5,2018,Africa,Silver,Diesel,Manual,2.9,167600,57993,7704,High
X6,2015,Africa,Black,Diesel,Automatic,3.4,59237,69037,7060,High
X5,2013,Africa,White,Petrol,Manual,3.1,149313,83286,6233,Low
7 Series,2021,North America,Red,Petrol,Manual,3.6,157947,95272,3782,Low
i8,2022,North America,Black,Hybrid,Automatic,2.7,12946,125629,6906,Low
X5,2023,Europe,Blue,Hybrid,Automatic,2.8,33119,133480,4106,Low
5 Series,2012,Middle East,Grey,Petrol,Manual,2.8,92254,62061,4556,Low
X3,2011,Asia,White,Hybrid,Manual,2.3,146136,55020,6395,Low
3 Series,2021,Africa,Black,Hybrid,Automatic,1.4,43318,39206,9999,High
X6,2024,North America,White,Diesel,Manual,3.0,45107,98755,4457,Low
X1,2016,Asia,White,Diesel,Manual,2.1,44295,56422,9519,High
M5,2017,South America,Grey,Petrol,Automatic,2.7,139930,108817,4210,Low
M3,2014,Asia,Black,Petrol,Manual,3.0,14220,88332,7848,High
i8,2022,Asia,White,Hybrid,Manual,2.4,177511,120353,6652,Low
M3,2022,Europe,Silver,Diesel,Manual,2.3,45859,101048,8145,High
X1,2017,North America,Grey,Petrol,Automatic,1.9,125608,76995,8621,High
M5,2023,South America,Silver,Petrol,Manual,3.2,87043,125071,6340,Low
X6,2014,Middle East,Blue,Diesel,Automatic,3.1,98791,104151,3417,Low
3 Series,2015,Africa,Silver,Diesel,Automatic,1.8,148765,41906,7137,High
3 Series,2010,Middle East,Silver,Petrol,Manual,2.1,24415,56108,9053,High
i8,2020,North America,Silver,Hybrid,Automatic,2.7,92670,96035,7867,High
7 Series,2018,South America,Blue,Hybrid,Manual,4.0,70738,71843,5818,Low
X5,2011,North America,Silver,Petrol,Automatic,3.5,36997,111134,3490,Low
X1,2015,South America,Black,Hybrid,Manual,1.4,80716,40519,9999,High
X3,2016,Africa,Grey,Electric,Manual,2.2,165547,60064,6873,Low
X3,2010,Africa,Silver,Electric,Automatic,1.8,141560,38375,6019,Low
X5,2022,Africa,Silver,Electric,Manual,2.8,127054,83125,5950,Low
X5,2018,Middle East,Blue,Petrol,Manual,2.9,115395,127998,7101,High
5 Series,2024,Europe,White,Diesel,Manual,1.5,169849,106484,9804,High
i3,2023,South America,Blue,Hybrid,Automatic,1.4,108241,48868,8211,High
X6,2020,Africa,Silver,Electric,Automatic,2.6,156631,64842,4552,Low
X5,2011,Africa,Grey,Petrol,Automatic,2.1,65972,84891,3101,Low
M3,2023,South America,Grey,Petrol,Manual,2.0,196175,61660,5312,Low
X6,2022,North America,Blue,Electric,Automatic,3.0,94839,91941,7235,High
M5,2010,Europe,Red,Petrol,Automatic,3.3,172095,102090,6424,Low
M3,2024,Africa,Grey,Electric,Manual,2.0,198223,81761,8318,High
X3,2018,South America,Red,Hybrid,Automatic,1.7,89942,53178,6683,Low
M3,2013,Europe,Grey,Diesel,Manual,2.1,116958,61697,5418,Low
X6,2011,Middle East,Silver,Diesel,Automatic,3.0,115658,81837,5845,Low
i3,2023,Europe,Grey,Hybrid,Manual,2.7,16268,80555,9999,High
X6,2017,South America,White,Electric,Automatic,3.3,170389,73031,6186,Low
X1,2015,Middle East,White,Petrol,Automatic,1.5,190891,44338,9600,High
M5,2021,North America,Blue,Diesel,Manual,2.8,33562,80881,7203,High
7 Series,2012,Asia,Silver,Petrol,Automatic,3.9,17621,120403,4573,Low
5 Series,2019,Africa,Blue,Petrol,Automatic,1.6,14324,82636,9690,High
X5,2023,Asia,Red,Petrol,Manual,2.7,90416,91155,8397,High
3 Series,2014,Middle East,Black,Electric,Manual,1.8,194576,51925,9837,High
3 Series,2016,Africa,Blue,Hybrid,Manual,1.9,7242,39804,6072,Low
M5,2022,Africa,Black,Petrol,Manual,3.4,4365,108176,7056,High
i3,2019,Middle East,Red,Electric,Manual,1.9,111705,70762,9999,High
M3,2016,Middle East,Red,Hybrid,Automatic,2.6,182289,93861,4464,Low
3 Series,2010,Middle East,White,Petrol,Automatic,2.1,49518,61774,7922,High
X1,2023,South America,Blue,Hybrid,Manual,2.1,136447,61785,8896,High
M3,2021,Asia,Blue,Hybrid,Manual,2.0,14963,103644,5689,Low
7 Series,2012,Middle East,Silver,Hybrid,Automatic,3.2,67615,102577,3133,Low
i8,2022,South America,Red,Hybrid,Manual,2.3,92344,77001,8993,High
X6,2021,North America,Red,Electric,Automatic,2.5,66499,124994,7502,High
X3,2013,Middle East,Black,Diesel,Automatic,2.0,109885,63137,9558,High
X1,2012,Europe,Silver,Petrol,Automatic,2.1,88694,54079,9835,High
i3,2018,South America,Grey,Electric,Manual,1.9,68953,37782,9999,High
X5,2024,Middle East,Red,Hybrid,Automatic,2.6,87731,81907,7819,High
M3,2019,North America,Black,Petrol,Manual,1.8,34702,107218,7207,High
M3,2014,Middle East,Black,Electric,Automatic,2.4,104412,75143,5681,Low
5 Series,2015,South America,Silver,Hybrid,Manual,2.3,50699,69406,7354,High
X1,2017,Middle East,Blue,Diesel,Automatic,1.4,31100,69989,8663,High
X5,2024,South America,White,Electric,Automatic,2.9,29774,106599,8266,High
M3,2023,South America,Silver,Electric,Automatic,2.1,156362,95545,9077,High
i8,2012,North America,Grey,Hybrid,Automatic,2.7,134983,90525,5502,Low
i3,2014,Africa,Silver,Diesel,Manual,2.0,171307,41572,6123,Low
i3,2023,Africa,Grey,Electric,Automatic,1.5,110543,44064,9566,High
X3,2021,Africa,White,Petrol,Manual,2.0,118288,68793,8323,High
i8,2024,South America,Silver,Hybrid,Automatic,2.4,82996,67659,8718,High
X6,2024,Asia,Blue,Hybrid,Automatic,3.0,82945,98268,4298,Low
X5,2014,Asia,Grey,Electric,Manual,3.2,133384,101969,4861,Low
i3,2017,Asia,Red,Electric,Manual,1.4,116937,67351,7600,High
M3,2018,Asia,Silver,Petrol,Automatic,2.7,199703,110692,5904,Low
3 Series,2015,North America,Blue,Diesel,Manual,2.2,181947,63227,7163,High
i3,2013,Middle East,Silver,Electric,Manual,1.0,199547,59211,8052,High
X5,2012,Middle East,Grey,Petrol,Manual,2.7,165801,63034,5907,Low
M5,2023,Asia,Blue,Electric,Manual,3.3,160767,123539,4923,Low
M3,2023,Asia,White,Electric,Manual,2.9,50687,101481,5392,Low
7 Series,2024,Europe,Red,Hybrid,Automatic,3.8,177478,123392,3244,Low
X3,2022,Europe,Red,Hybrid,Manual,2.9,157988,73528,8859,High
X1,2022,Europe,Black,Diesel,Manual,2.2,16705,60246,7729,High
5 Series,2017,Europe,Grey,Diesel,Manual,2.7,115811,103817,7244,High
M3,2015,Asia,White,Electric,Automatic,2.8,6526,87238,8352,High
M3,2012,Asia,Silver,Petrol,Manual,2.8,163337,75602,4365,Low
7 Series,2010,North America,White,Petrol,Automatic,3.6,13000,92453,5256,Low
X6,2012,Asia,Red,Petrol,Manual,3.1,199298,90681,6192,Low
3 Series,2018,Asia,Grey,Petrol,Manual,2.4,24449,72627,5986,Low
M5,2019,South America,Black,Petrol,Manual,2.1,160751,74552,7185,High
M5,2017,Africa,Silver,Hybrid,Manual,2.8,109827,77345,4803,Low
M5,2013,Africa,Black,Petrol,Manual,3.2,199827,68307,3540,Low
3 Series,2011,South America,Grey,Petrol,Manual,2.1,143054,48117,5582,Low
i3,2015,Africa,Grey,Electric,Manual,1.7,41719,41833,9999,High
X3,2016,Asia,Silver,Petrol,Manual,2.4,127643,80656,8347,High
5 Series,2024,Middle East,Black,Electric,Automatic,2.2,107302,102232,8206,High
7 Series,2011,Middle East,Black,Petrol,Manual,3.7,152650,112322,2978,Low
i3,2016,Asia,White,Petrol,Manual,1.0,87069,67409,7083,High
X3,2021,North America,Grey,Electric,Manual,2.5,175370,72877,8878,High
i8,2012,South America,Black,Hybrid,Manual,2.3,129327,72647,5524,Low
M3,2011,Asia,Grey,Petrol,Automatic,3.3,193608,83636,3733,Low
X3,2012,Middle East,Blue,Diesel,Manual,2.7,111194,64928,7854,High
7 Series,2015,Middle East,Black,Electric,Manual,3.5,115201,140385,5935,Low
7 Series,2019,Asia,Black,Hybrid,Automatic,3.4,30984,92739,4551,Low
M3,2015,Africa,Red,Diesel,Automatic,2.6,183245,64424,6020,Low
M5,2021,South America,Black,Electric,Automatic,2.9,7786,105483,6193,Low
X3,2022,Europe,Red,Hybrid,Manual,2.2,80143,68049,5727,Low
i3,2011,Asia,Silver,Electric,Manual,2.0,77873,40742,9999,High
X1,2018,Europe,Silver,Electric,Manual,1.1,31035,80958,8534,High
i3,2024,North America,Grey,Electric,Manual,1.5,102067,80533,9999,High
X5,2018,Europe,Red,Electric,Automatic,2.8,83400,113304,7375,High
i3,2015,Asia,Silver,Electric,Manual,1.0,58321,46703,9747,High
M5,2013,Europe,Black,Petrol,Manual,2.8,156910,82200,4902,Low
X5,2015,Europe,Grey,Petrol,Automatic,3.2,176946,72928,6976,Low
X5,2023,South America,Black,Electric,Manual,2.2,115634,112455,4599,Low
i8,2012,Europe,Silver,Petrol,Automatic,2.4,69851,100649,6556,Low
i8,2018,Africa,Grey,Hybrid,Manual,3.1,102383,92949,5792,Low
X3,2013,North America,Blue,Petrol,Manual,2.0,65374,55565,5887,Low
7 Series,2015,South America,Red,Hybrid,Manual,2.8,88581,72624,3708,Low
7 Series,2013,South America,Silver,Petrol,Automatic,3.7,68820,114162,5091,Low
i3,2021,Africa,Red,Petrol,Manual,1.3,170022,33456,9999,High
X6,2014,Asia,Red,Petrol,Manual,3.2,197289,111173,3835,Low
i8,2013,Middle East,Grey,Hybrid,Manual,2.7,104316,89914,4100,Low
M5,2018,Europe,Blue,Electric,Manual,3.0,119362,94086,3503,Low
X3,2011,Europe,Blue,Petrol,Automatic,2.2,17084,85468,8697,High
X6,2014,Europe,Silver,Petrol,Manual,2.7,160873,130767,5215,Low
5 Series,2011,Middle East,Grey,Diesel,Manual,1.4,97903,50090,5829,Low
X6,2011,Asia,Red,Diesel,Manual,2.4,186894,95057,3320,Low
M3,2011,Africa,Black,Petrol,Manual,2.6,23138,63708,4186,Low
X5,2015,North America,Grey,Electric,Automatic,3.0,75051,125993,4796,Low
M3,2010,Africa,Red,Petrol,Manual,3.0,171623,56741,6888,Low
X1,2023,Middle East,Red,Diesel,Automatic,1.6,96861,59071,9084,High
M5,2020,North America,Silver,Hybrid,Automatic,3.4,155357,94883,4041,Low
5 Series,2013,Africa,Silver,Petrol,Manual,2.5,105306,70140,7191,High
X3,2011,Europe,Silver,Petrol,Manual,2.3,87318,74640,5723,Low
M3,2013,North America,Blue,Petrol,Automatic,2.5,173938,104362,6826,Low
X6,2023,Asia,Black,Electric,Automatic,2.7,172939,104036,7612,High
3 Series,2020,Asia,Black,Petrol,Manual,1.6,32557,64342,8089,High
5 Series,2019,Europe,Black,Petrol,Manual,2.2,9269,83161,9713,High
5 Series,2014,Asia,White,Electric,Manual,2.5,46438,85483,6731,Low
X3,2014,Asia,White,Diesel,Manual,2.4,132280,77978,5337,Low
X1,2022,North America,White,Petrol,Manual,1.3,84134,65303,9999,High
i8,2012,Asia,Black,Hybrid,Automatic,2.9,123327,77175,5750,Low
X5,2011,Africa,Red,Diesel,Manual,2.8,65816,64213,3654,Low
7 Series,2020,Middle East,Black,Electric,Automatic,3.8,78003,155000,4004,Low
i3,2020,Middle East,Silver,Hybrid,Automatic,2.0,49469,72720,9999,High
M3,2022,Asia,Black,Electric,Manual,2.9,157579,76180,4884,Low
i8,2011,Europe,Silver,Hybrid,Manual,2.7,62287,82157,4454,Low
X3,2015,Africa,Blue,Petrol,Automatic,2.2,22026,69520,7611,High
M5,2013,South America,Silver,Petrol,Manual,3.6,38931,92334,5536,Low
M5,2018,Europe,Silver,Diesel,Manual,2.8,85068,82854,5477,Low
5 Series,2012,Middle East,Red,Diesel,Automatic,2.6,94954,87694,7728,High
5 Series,2016,Middle East,White,Electric,Manual,2.1,40857,89478,6108,Low
7 Series,2023,Africa,Red,Hybrid,Manual,3.4,50078,75919,5012,Low
5 Series,2015,North America,Blue,Petrol,Manual,2.4,186311,86713,9066,High
X1,2011,Africa,Black,Petrol,Manual,2.1,116464,47249,9405,High
X3,2014,Middle East,Black,Diesel,Manual,2.6,124480,86894,4766,Low
3 Series,2024,North America,Red,Electric,Automatic,1.9,153731,66704,6835,Low
i8,2018,Europe,Silver,Hybrid,Automatic,2.8,7731,75536,6389,Low
M3,2010,Asia,Black,Petrol,Automatic,2.5,20011,74904,7120,High
X1,2018,Europe,Blue,Hybrid,Automatic,1.5,82506,49678,9999,High
5 Series,2014,Europe,Red,Hybrid,Automatic,2.8,41201,67480,5246,Low
X6,2020,Asia,Black,Hybrid,Manual,2.5,148915,109769,6104,Low
M5,2012,Europe,Grey,Petrol,Manual,3.2,171078,122973,4156,Low
i8,2017,Africa,Black,Petrol,Manual,3.1,168399,65633,5073,Low
X5,2015,North America,Blue,Petrol,Manual,2.4,119870,87923,4816,Low
7 Series,2015,Asia,Black,Electric,Automatic,3.0,5884,125182,4364,Low
X1,2013,Asia,Blue,Petrol,Manual,1.5,150290,42606,9237,High
M3,2014,Europe,Blue,Hybrid,Manual,2.2,155209,90294,8263,High
X6,2016,Africa,Black,Petrol,Manual,3.1,8549,89122,6703,Low
i8,2021,North America,Silver,Petrol,Manual,2.5,75905,104456,7675,High
5 Series,2011,Middle East,White,Petrol,Manual,2.0,44933,67349,8484,High
7 Series,2015,South America,White,Petrol,Manual,3.5,120006,115558,2839,Low
X5,2021,Asia,Grey,Electric,Automatic,3.0,172433,79641,6290,Low
i8,2015,South America,Red,Hybrid,Automatic,2.4,174981,59281,7952,High
X1,2010,Asia,White,Diesel,Automatic,2.2,116155,57102,7925,High
7 Series,2012,Middle East,Red,Hybrid,Automatic,3.5,104994,77474,3695,Low
X5,2017,Middle East,Blue,Diesel,Manual,2.6,40043,103464,5989,Low
M3,2013,Middle East,Grey,Electric,Automatic,3.0,41241,97131,4498,Low
i3,2011,North America,Grey,Hybrid,Manual,1.0,187297,61260,9045,High
3 Series,2016,Middle East,Silver,Petrol,Manual,2.0,190891,52661,9999,High
5 Series,2022,Europe,White,Petrol,Manual,2.4,123283,70086,4667,Low
3 Series,2010,Africa,Silver,Diesel,Automatic,2.1,85400,47191,8749,High
3 Series,2024,Middle East,Grey,Electric,Automatic,1.5,65125,68466,9999,High
3 Series,2013,Middle East,Silver,Diesel,Manual,1.6,106413,41332,8862,High
M3,2024,Africa,Black,Hybrid,Automatic,3.3,117556,52320,6881,Low
7 Series,2011,South America,White,Diesel,Automatic,2.9,97433,96212,2827,Low
i3,2014,Europe,White,Electric,Automatic,1.0,113794,72982,9999,High
X6,2010,North America,Black,Diesel,Automatic,2.7,41714,84815,4684,Low
M3,2018,North America,Silver,Hybrid,Manual,2.8,79448,68734,4038,Low
M5,2024,Asia,Black,Electric,Manual,3.0,26292,117369,7951,High
X6,2014,Asia,Silver,Petrol,Manual,2.6,81096,92958,5008,Low
i8,2014,South America,Silver,Hybrid,Manual,2.8,152122,86921,4136,Low
X5,2014,Europe,White,Diesel,Automatic,2.4,166069,86717,6816,Low
X3,2024,South America,Grey,Hybrid,Automatic,2.2,194301,79512,7489,High
3 Series,2011,Europe,Silver,Petrol,Manual,2.1,55764,56159,9732,High
3 Series,2020,Africa,Silver,Petrol,Manual,1.7,97480,45031,6382,Low
3 Series,2015,South America,Blue,Petrol,Automatic,2.2,54206,58103,7212,High
3 Series,2013,Middle East,White,Petrol,Automatic,1.5,12103,41055,9999,High
i8,2018,Africa,Black,Hybrid,Manual,2.2,86398,66857,5018,Low
i3,2017,North America,Black,Hybrid,Automatic,1.3,171769,70202,8549,High
X1,2023,Middle East,Blue,Petrol,Automatic,1.0,60061,68717,9980,High
X5,2024,South America,Blue,Petrol,Manual,2.9,124787,106642,4076,Low
X3,2021,Africa,Black,Hybrid,Automatic,2.0,14425,55295,9114,High
7 Series,2023,North America,Silver,Electric,Automatic,2.9,134800,155000,4350,Low
M3,2012,Europe,Red,Diesel,Automatic,2.3,41536,70831,7508,High
X6,2012,Asia,White,Petrol,Manual,2.8,131511,115951,6359,Low
i3,2017,Europe,White,Electric,Manual,1.7,168155,44624,9999,High
M5,2016,Europe,Black,Diesel,Manual,2.7,135857,127357,7171,High
i8,2016,Africa,Blue,Hybrid,Manual,3.0,197716,56444,6981,Low
5 Series,2019,Africa,White,Petrol,Automatic,2.7,101225,50706,7857,High
7 Series,2013,Asia,Red,Diesel,Automatic,3.4,63465,97500,3668,Low
i8,2011,Europe,Blue,Hybrid,Automatic,2.5,136370,92044,5677,Low
i3,2012,Africa,White,Petrol,Manual,2.7,39898,40616,6216,Low
5 Series,2019,Africa,White,Hybrid,Automatic,2.6,141353,75243,5486,Low
X5,2018,North America,Red,Diesel,Manual,2.2,85633,70920,7077,High
